cycle_id,mode,actuator,total_latency_ns,processing_time_ns,lock_wait_ns,deadline_met,lateness_ns
135,baseline,Gripper,144400,200,800,true,0
135,baseline,Motor,152500,100,700,true,0
135,baseline,Stabilizer,158900,100,400,true,0
136,baseline,,1360524700,524700,0,false,324700
136,baseline,Gripper,1545000,400,3200,true,0
136,baseline,Motor,1556800,100,1400,true,0
136,baseline,Stabilizer,1566400,0,1000,true,0
137,baseline,,1370501500,501500,0,false,301500
137,baseline,Motor,182200,200,1600,true,0
137,baseline,Stabilizer,190300,100,900,true,0
137,baseline,Gripper,277900,100,1600,true,0
138,baseline,,1380317800,317800,200,false,117800
138,baseline,Motor,155900,200,2500,true,0
138,baseline,Stabilizer,170600,200,900,true,0
138,baseline,Gripper,290400,400,3200,true,0
139,baseline,,1390443400,443400,100,false,243400
139,baseline,Gripper,193700,26000,1100,true,0
139,baseline,Motor,241700,66500,4600,true,0
139,baseline,Stabilizer,382700,198700,1300,true,0
140,baseline,,1400179200,179200,100,true,0
140,baseline,Gripper,127100,200,2400,true,0
140,baseline,Motor,141600,0,1100,true,0
140,baseline,Stabilizer,148500,200,700,true,0
141,baseline,,1410489900,489900,0,false,289900
141,baseline,Gripper,1061300,300,1500,true,0
141,baseline,Motor,1075900,300,5300,true,0
141,baseline,Stabilizer,1084400,100,800,true,0
142,baseline,,1420535300,535300,0,false,335300
142,baseline,Gripper,81900,300,1800,true,0
142,baseline,Motor,90800,100,1200,true,0
142,baseline,Stabilizer,97500,100,700,true,0
143,baseline,Gripper,73100,500,4100,true,0
143,baseline,Motor,87700,200,1700,true,0
143,baseline,Stabilizer,98300,200,1100,true,0
143,baseline,,1430207600,207600,100,false,15700
144,baseline,,1440508800,508800,100,false,308800
144,baseline,Motor,136500,500,1200,true,0
144,baseline,Gripper,146200,300,2500,true,0
144,baseline,Stabilizer,148500,100,600,true,0
145,baseline,,1450595000,595000,100,false,395000
145,baseline,Gripper,77900,200,1100,true,0
145,baseline,Stabilizer,86700,100,500,true,0
145,baseline,Motor,86800,200,1800,true,0
146,baseline,,1460568700,568700,0,false,368700
146,baseline,Gripper,377000,300,2400,true,0
146,baseline,Motor,390000,100,900,true,0
146,baseline,Stabilizer,400800,300,1300,true,0
147,baseline,,1470355400,355400,100,false,155400
147,baseline,Gripper,171200,200,2200,true,0
147,baseline,Motor,191600,300,2900,true,0
147,baseline,Stabilizer,194900,0,500,true,0
148,baseline,,1481457700,1457700,100,false,1257700
148,baseline,Stabilizer,328200,400,3400,true,0
148,baseline,Gripper,342800,200,2500,true,0
148,baseline,Motor,497800,300,3300,true,0
149,baseline,,1490613100,613100,100,false,413100
149,baseline,Gripper,90800,300,1600,true,0
